geoRegion;pop;fullyVaccinatedTotal;fullyVaccinatedPer100PersonsTotal;sumCasesTotal;casesPer100k
AG;685845;402728;58.72;59174;74.22
AI;16128;7829;48.54;1735;179.81
AR;55445;28591;51.57;4986;220.04
BE;1039474;621956;59.83;80215;76.1
BL;289468;178627;61.71;22816;67.36
BS;195844;123855;63.24;16838;41.87
FR;321783;193559;60.15;36663;79.25
GE;504128;297111;58.93;72905;66.45
GL;40590;21557;53.11;4076;130.57
GR;199021;117549;59.07;16517;90.95
JU;73584;39464;53.63;8468;74.74
LU;413120;235932;57.11;36741;133.38
NE;176496;98226;55.66;20070;91.22
NW;43087;24777;57.5;3260;97.48
OW;37930;18723;49.36;3418;271.55
SG;510734;273422;53.54;53944;146.46
SH;82348;49450;60.05;6316;65.58
SO;275247;161640;58.72;22848;44.69
SZ;160480;82575;51.45;15605;159.52
TG;279547;147135;52.63;24577;135.22
TI;351491;218563;62.18;35990;32.15
UR;36703;20280;55.25;3883;228.86
VD;805098;494547;61.43;96147;66.2
VS;345525;194678;56.34;42726;75.25
ZG;127642;78596;61.58;10386;101.06
ZH;1539275;958052;62.24;140673;95.95
